Dataset,Depth,Mode,Threads,Time(s),Accuracy,Misclassification,TreeStructure
bidding.txt,4,CPU,8,3.1770,0.99652,22,"[8,0.55554444,[8,0.33336666,[8,0.11118889,[2,0.25005001,0,1],[2,0.74994999,0,1]],[3,0.78605920,[2,0.74994999,0,1],[2,0.25005001,0,1]]],[2,0.25005001,[0,0.55049491,0,[8,0.83326662,0,1]],[1,0.13846517,[1,0.08903313,0,1],[8,0.83326662,1,0]]]]"
bidding.txt,4,CPU,9,2.7440,0.99652,22,"[8,0.55554444,[8,0.33336666,[8,0.11118889,[2,0.25005001,0,1],[2,0.74994999,0,1]],[3,0.78605920,[2,0.74994999,0,1],[2,0.25005001,0,1]]],[2,0.25005001,[0,0.55049491,0,[8,0.83326662,0,1]],[8,0.83326662,[1,0.08903313,0,1],0]]]"
bidding.txt,4,CPU,10,2.8700,0.99652,22,"[8,0.55554444,[8,0.33336666,[8,0.11118889,[2,0.25005001,0,1],[2,0.74994999,0,1]],[3,0.78605920,[2,0.74994999,0,1],[2,0.25005001,0,1]]],[8,0.83326662,[2,0.25005001,0,[1,0.08903313,0,1]],[1,0.11336999,0,[0,0.93412364,0,1]]]]"
bidding.txt,4,CPU,15,3.9010,0.99652,22,"[8,0.55554444,[8,0.33336666,[8,0.11118889,[2,0.25005001,0,1],[2,0.74994999,0,1]],[3,0.78605920,[2,0.74994999,0,1],[2,0.25005001,0,1]]],[8,0.83326662,[2,0.25005001,0,[1,0.08903313,0,1]],[0,0.04281873,0,[0,0.93412364,0,1]]]]"
bidding.txt,4,CPU,16,4.0780,0.99652,22,"[8,0.55554444,[8,0.33336666,[8,0.11118889,[2,0.25005001,0,1],[2,0.74994999,0,1]],[3,0.78605920,[2,0.74994999,0,1],[2,0.25005001,0,1]]],[2,0.25005001,[8,0.83326662,0,[0,0.74994999,0,1]],[8,0.83326662,[1,0.08903313,0,1],0]]]"
bidding.txt,4,CPU,30,6.3780,0.99652,22,"[8,0.55554444,[8,0.33336666,[8,0.11118889,[2,0.25005001,0,1],[2,0.74994999,0,1]],[3,0.78605920,[2,0.74994999,0,1],[2,0.25005001,0,1]]],[8,0.83326662,[2,0.25005001,0,[1,0.08903313,0,1]],[0,0.04281873,0,[0,0.93412364,0,1]]]]"
bidding.txt,4,CPU,32,6.8330,0.99652,22,"[8,0.55554444,[8,0.33336666,[8,0.11118889,[2,0.25005001,0,1],[2,0.74994999,0,1]],[3,0.78605920,[2,0.74994999,0,1],[2,0.25005001,0,1]]],[2,0.25005001,[8,0.83326662,0,[0,0.74994999,0,1]],[8,0.83326662,[1,0.08903313,0,1],0]]]"
bidding.txt,4,CPU,60,11.8080,0.99652,22,"[8,0.55554444,[8,0.33336666,[8,0.11118889,[2,0.25005001,0,1],[2,0.74994999,0,1]],[3,0.78605920,[2,0.74994999,0,1],[2,0.25005001,0,1]]],[8,0.83326662,[2,0.25005001,0,[1,0.08903313,0,1]],[1,0.11336999,0,[0,0.93412364,0,1]]]]"
eeg.txt,4,CPU,1,599.4780,0.736916,3941,"[0,0.51964688,[1,0.23538673,[5,0.34683198,[11,0.42235687,0,1],[6,0.46981919,0,1]],[6,0.46260458,[13,0.52245247,0,1],[6,0.47222483,0,1]]],[4,0.52438152,[12,0.95070279,[7,0.01473785,1,0],[1,0.24188039,1,0]],[6,0.48172319,[5,0.36070007,1,0],[5,0.36464834,1,0]]]]"
eeg.txt,4,CPU,2,599.7760,0.750801,3733,"[0,0.51401013,[1,0.23538673,[5,0.34683198,[11,0.42235687,0,1],[6,0.47018027,0,1]],[6,0.46200436,[10,0.25496134,0,1],[6,0.47270551,0,1]]],[0,0.51908314,[5,0.34798783,[5,0.34201711,0,1],[6,0.47018027,0,1]],[4,0.52508271,[1,0.24188039,1,0],[5,0.36464834,1,0]]]]"
